age,likes_sports,sport_indoor_outdoor,which_sport,sport_hours_per_day,sport_team_solo,sport_activity_level,sport_frequency,likes_arts,which_art,art_creativity,art_performance,art_hours,art_learning_style,art_digital_traditional,likes_academics,fav_subject,acad_problem_solving,acad_curiosity,acad_study_type,acad_competitions,acad_reading_habit,likes_analytical,analy_puzzle_type,analy_logic_level,analy_challenge,analy_work_style,analy_coding_interest,analy_patience_level,health_condition,health_energy,health_outdoor_preference,health_activity_preference,health_hours,health_sleep_quality,category,hobby
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Gymnastics,High,Good,Health,Gymnastics
12,Yes,indoor,Table Tennis,Medium,Individual,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Swimming,High,Good,Sports,Table Tennis
8,Yes,both,Other,Low,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Meditation,High,Good,Sports,Cricket
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Group,No,Yes,No,None,None,None,None,None,None,Other,High,No,Gymnastics,Low,Poor,Academics,Science Club
5,Yes,outdoor,Basketball,Medium,Individual,Medium,1-2 days,No,None,None,None,None,None,None,Yes,Science,No,No,Individual,No,No,Yes,Puzzles,Medium,Yes,With others,No,High,None,High,Yes,Gymnastics,Low,Average,Sports,Basketball
12,Yes,both,Swimming,High,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Low,No,Alone,Yes,Low,Other,High,Yes,Gymnastics,Low,Poor,Sports,Swimming
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,No,Meditation,Medium,Good,Health,Meditation
11,Yes,outdoor,Cricket,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Other,High,Good,Sports,Cricket
8,Yes,outdoor,Basketball,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,High,Yes,Gymnastics,Low,Average,Sports,Basketball
6,Yes,both,Basketball,High,Team,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Yoga,Medium,Poor,Sports,Basketball
14,Yes,indoor,Swimming,Medium,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Swimming,Low,Good,Sports,Swimming
12,Yes,indoor,Badminton,Low,Individual,Low,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,Yes,Alone,No,Medium,Other,Low,Yes,Meditation,Medium,Poor,Analytical,Chess
6,No,None,None,None,None,None,None,Yes,Other,High,Yes,High,Free,Both,No,None,None,None,None,None,None,Yes,Robotics,Medium,Yes,With others,Yes,Low,None,High,Yes,Running,Medium,Average,Arts,Drawing
7,No,None,None,None,None,None,None,Yes,Dance,Low,Yes,Low,Free,Traditional,No,None,None,None,None,None,None,Yes,Other,Low,Yes,With others,Yes,Medium,Joint Pain,High,Yes,Swimming,Medium,Average,Analytical,Coding
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,No,With others,Yes,Medium,None,Medium,Yes,Swimming,Low,Poor,Analytical,Chess
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,High,Yes,Alone,Yes,Medium,Other,Medium,Yes,Yoga,Medium,Good,Analytical,Robotics
13,Yes,both,Basketball,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Yoga,Medium,Average,Sports,Basketball
8,Yes,outdoor,Swimming,High,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Low,No,Other,Low,Poor,Sports,Swimming
8,Yes,indoor,Table Tennis,High,Individual,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Yoga,Low,Good,Sports,Table Tennis
10,Yes,outdoor,Athletics,High,Individual,Medium,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,Yes,Swimming,Low,Average,Sports,Athletics
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,No,Group,Yes,Yes,No,None,None,None,None,None,None,Other,High,Yes,Yoga,Low,Poor,Academics,Math Olympiad
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,Joint Pain,High,No,Yoga,High,Poor,Academics,Math Olympiad
8,Yes,outdoor,Cricket,Low,Individual,Medium,1-2 days,No,None,None,None,None,None,None,Yes,Other,No,Yes,Individual,Yes,No,No,None,None,None,None,None,None,Joint Pain,Low,No,Other,High,Average,Academics,Math Olympiad
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,Low,Yes,With others,Yes,Low,None,Medium,No,Gymnastics,Low,Poor,Analytical,Robotics
17,No,None,None,None,None,None,None,Yes,Dance,High,No,Low,Free,Digital,Yes,Language,Yes,No,Individual,No,No,No,None,None,None,None,None,None,None,Low,No,Yoga,High,Poor,Arts,Dance
6,No,None,None,None,None,None,None,Yes,Drawing,Medium,Yes,Medium,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Yoga,Low,Poor,Arts,Drawing
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,Yes,Swimming,Medium,Good,Health,Swimming
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Meditation,Medium,Good,Health,Meditation
13,No,None,None,None,None,None,None,Yes,Drawing,Medium,Yes,High,Free,Traditional,No,None,None,None,None,None,None,Yes,Puzzles,Medium,No,Alone,Yes,Low,None,High,Yes,Meditation,Low,Good,Arts,Drawing
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,Yes,With others,Yes,Low,None,High,Yes,Swimming,Medium,Poor,Analytical,Coding
10,Yes,indoor,Badminton,Medium,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Swimming,High,Good,Sports,Badminton
13,Yes,indoor,Swimming,High,Individual,Low,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,No,Meditation,High,Average,Sports,Swimming
13,Yes,both,Table Tennis,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Swimming,Low,Average,Sports,Table Tennis
17,Yes,indoor,Swimming,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Low,Yes,Yoga,Medium,Poor,Sports,Swimming
11,No,None,None,None,None,None,None,Yes,Drawing,High,Yes,Medium,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,Yes,Swimming,Medium,Good,Arts,Drawing
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,Yes,Alone,Yes,High,Other,Low,No,Swimming,Medium,Good,Analytical,Chess
6,No,None,None,None,None,None,None,Yes,Drawing,Low,No,High,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,No,Yoga,Medium,Good,Arts,Drawing
8,Yes,both,Table Tennis,Low,Individual,Low,3-4 days,No,None,None,None,None,None,None,Yes,Math,No,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,High,Yes,Swimming,Medium,Average,Academics,Math Olympiad
7,Yes,indoor,Swimming,High,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Meditation,Medium,Good,Sports,Swimming
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,Asthma,Low,No,Swimming,Medium,Good,Academics,Math Olympiad
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,Yes,With others,Yes,High,None,High,Yes,Yoga,Medium,Poor,Analytical,Chess
12,Yes,both,Cricket,High,Individual,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,Yes,Swimming,Low,Good,Sports,Cricket
9,Yes,indoor,Badminton,Low,Individual,Low,3-4 days,Yes,Music,High,Yes,Low,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,High,No,Swimming,High,Good,Arts,Music
11,Yes,indoor,Swimming,Low,Individual,Medium,5+ days,Yes,Other,Medium,Yes,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Swimming,Low,Good,Arts,Drawing
5,No,None,None,None,None,None,None,Yes,Dance,High,Yes,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Meditation,Low,Poor,Arts,Dance
15,No,None,None,None,None,None,None,Yes,Drawing,High,Yes,Low,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,No,Other,Medium,Good,Arts,Drawing
12,No,None,None,None,None,None,None,Yes,Drawing,High,Yes,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Other,High,Good,Arts,Drawing
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,No,Individual,No,No,No,None,None,None,None,None,None,None,High,Yes,Yoga,Medium,Good,Health,Yoga
17,Yes,both,Table Tennis,Medium,Individual,Medium,3-4 days,Yes,Drawing,High,No,Low,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Swimming,Medium,Good,Sports,Table Tennis
16,No,None,None,None,None,None,None,Yes,Other,High,Yes,Low,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Other,High,Good,Arts,Drawing
17,Yes,indoor,Swimming,Medium,Team,Low,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Running,High,Average,Sports,Swimming
16,Yes,outdoor,Cricket,High,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Other,High,Good,Sports,Cricket
6,No,None,None,None,None,None,None,Yes,Music,High,Yes,High,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Yoga,High,Poor,Arts,Music
12,No,None,None,None,None,None,None,Yes,Drawing,Medium,No,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Gymnastics,Medium,Good,Arts,Drawing
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,Medium,No,Alone,Yes,Medium,Asthma,High,Yes,Meditation,High,Average,Analytical,Robotics
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,No,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,Asthma,Medium,Yes,Swimming,High,Poor,Academics,Creative Writing
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,No,No,No,None,None,None,None,None,None,None,High,Yes,Meditation,Low,Good,Academics,Math Olympiad
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,Yes,Individual,No,No,No,None,None,None,None,None,None,None,Medium,No,Gymnastics,High,Good,Academics,Math Olympiad
12,Yes,indoor,Other,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,No,Gymnastics,Low,Average,Sports,Cricket
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,Yes,With others,No,Low,Joint Pain,Low,No,Yoga,Low,Good,Analytical,Chess
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,No,Yes,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,Low,Good,Academics,Science Club
11,No,None,None,None,None,None,None,Yes,Drawing,High,Yes,Medium,Free,Both,No,None,None,None,None,None,None,Yes,Coding,Medium,Yes,Alone,No,Low,None,High,Yes,Running,High,Average,Arts,Drawing
15,Yes,both,Swimming,Medium,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Yoga,High,Poor,Sports,Swimming
5,Yes,outdoor,Basketball,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Running,Medium,Poor,Sports,Basketball
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Running,Medium,Poor,Health,Running
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,High,Yes,With others,Yes,High,Joint Pain,High,No,Swimming,Low,Good,Analytical,Robotics
5,No,None,None,None,None,None,None,Yes,Other,High,Yes,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,Yes,Meditation,Medium,Good,Arts,Drawing
17,Yes,both,Table Tennis,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Running,Medium,Poor,Sports,Table Tennis
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,High,No,Swimming,Medium,Good,Academics,Math Olympiad
14,No,None,None,None,None,None,None,Yes,Drawing,Low,No,Low,Free,Digital,Yes,Math,No,Yes,Individual,Yes,No,No,None,None,None,None,None,None,Other,Medium,No,Other,High,Poor,Academics,Math Olympiad
16,Yes,indoor,Chess,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Gymnastics,Medium,Poor,Sports,Chess
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,No,No,No,None,None,None,None,None,None,None,Low,Yes,Other,High,Average,Academics,Math Olympiad
9,No,None,None,None,None,None,None,Yes,Dance,High,Yes,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Yoga,High,Poor,Arts,Dance
15,No,None,None,None,None,None,None,Yes,Other,High,Yes,High,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Low,Yes,Yoga,High,Good,Arts,Drawing
16,Yes,outdoor,Basketball,Low,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,High,Poor,Health,Swimming
17,No,None,None,None,None,None,None,Yes,Dance,High,No,Medium,Structured,Digital,No,None,None,None,None,None,None,Yes,Logical Games,Low,Yes,Alone,No,Medium,None,High,Yes,Meditation,Medium,Poor,Analytical,Robotics
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,High,Yes,Alone,Yes,High,None,Medium,No,Yoga,High,Poor,Analytical,Robotics
12,Yes,both,Cricket,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,No,Swimming,Medium,Good,Sports,Cricket
14,Yes,indoor,Swimming,High,Team,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,Yes,Running,Medium,Poor,Sports,Swimming
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,No,No,None,None,None,None,None,None,None,Low,Yes,Gymnastics,Medium,Average,Academics,Math Olympiad
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,No,With others,Yes,High,None,High,No,Meditation,Low,Good,Analytical,Chess
12,Yes,outdoor,Other,Low,Team,Medium,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,No,Meditation,High,Average,Sports,Cricket
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,Medium,No,Swimming,Low,Poor,Academics,Math Olympiad
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,High,Yes,Alone,Yes,Medium,None,Low,Yes,Meditation,Low,Poor,Analytical,Robotics
17,Yes,both,Cricket,Low,Individual,Medium,3-4 days,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,Medium,No,Other,High,Poor,Academics,Math Olympiad
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Meditation,Low,Good,Health,Meditation
17,Yes,outdoor,Swimming,Low,Individual,Medium,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,Yes,With others,Yes,High,None,Low,No,Other,Low,Average,Analytical,Coding
8,No,None,None,None,None,None,None,Yes,Dance,Medium,No,Low,Structured,Digital,No,None,None,None,None,None,None,Yes,Coding,High,No,Alone,Yes,Medium,None,Medium,Yes,Swimming,Low,Good,Analytical,Coding
6,Yes,outdoor,Cricket,Medium,Individual,High,3-4 days,Yes,Dance,Medium,No,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Running,Medium,Poor,Sports,Cricket
15,Yes,indoor,Badminton,Low,Team,Low,1-2 days,No,None,None,None,None,None,None,Yes,Other,Yes,No,Individual,No,Yes,No,None,None,None,None,None,None,None,High,No,Yoga,Medium,Average,Academics,Math Olympiad
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,No,Group,No,Yes,No,None,None,None,None,None,None,None,High,No,Yoga,Low,Poor,Academics,Science Club
11,No,None,None,None,None,None,None,Yes,Music,High,Yes,High,Free,Digital,Yes,Science,No,Yes,Group,Yes,No,No,None,None,None,None,None,None,None,High,No,Yoga,Low,Good,Arts,Music
15,Yes,both,Other,High,Team,Medium,5+ days,Yes,Drawing,Low,No,Medium,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,High,No,Gymnastics,High,Average,Sports,Cricket
5,Yes,outdoor,Basketball,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Swimming,High,Good,Sports,Basketball
12,No,None,None,None,None,None,None,Yes,Drawing,High,No,Medium,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,No,Yoga,High,Poor,Arts,Drawing
16,Yes,indoor,Chess,High,Team,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Gymnastics,Medium,Poor,Sports,Chess
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,Medium,Yes,Alone,Yes,High,None,High,No,Other,High,Poor,Analytical,Coding
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,Medium,No,Other,Low,Good,Academics,Math Olympiad
6,Yes,outdoor,Swimming,High,Team,Low,3-4 days,Yes,Drawing,High,No,High,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,Yes,Swimming,High,Poor,Arts,Drawing
7,Yes,indoor,Table Tennis,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Yoga,High,Poor,Sports,Table Tennis
9,Yes,indoor,Swimming,Medium,Team,Medium,1-2 days,Yes,Dance,Low,No,Medium,Structured,Both,No,None,None,None,None,None,None,Yes,Coding,Medium,No,Alone,Yes,Medium,None,Low,Yes,Meditation,Low,Good,Sports,Swimming
12,No,None,None,None,None,None,None,Yes,Drawing,High,Yes,Medium,Structured,Both,Yes,Language,No,No,Individual,No,Yes,No,None,None,None,None,None,None,None,High,Yes,Meditation,Medium,Average,Arts,Drawing
10,Yes,both,Swimming,Low,Team,Low,1-2 days,Yes,Drawing,High,Yes,Medium,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,High,Good,Arts,Drawing
8,Yes,outdoor,Swimming,High,Individual,Low,3-4 days,Yes,Other,Low,Yes,Low,Structured,Digital,No,None,None,None,None,None,None,Yes,Coding,Low,No,With others,No,Medium,Other,Medium,Yes,Other,Medium,Poor,Sports,Swimming
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Low,No,With others,Yes,Medium,None,Low,Yes,Gymnastics,High,Good,Health,Gymnastics
16,Yes,indoor,Badminton,High,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Running,Medium,Poor,Sports,Badminton
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Medium,Yes,Alone,Yes,Medium,Joint Pain,High,No,Swimming,High,Good,Analytical,Coding
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,Medium,Yes,With others,Yes,High,None,Low,Yes,Meditation,High,Average,Analytical,Coding
7,Yes,both,Football,Low,Team,Low,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,Medium,No,With others,No,Low,Joint Pain,High,Yes,Swimming,Medium,Poor,Health,Swimming
15,Yes,indoor,Carrom,High,Individual,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Meditation,Medium,Poor,Sports,Carrom
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,Other,Medium,No,Other,Low,Good,Academics,Math Olympiad
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,No,Individual,Yes,Yes,No,None,None,None,None,None,None,Other,Medium,No,Meditation,Medium,Average,Academics,Creative Writing
7,Yes,outdoor,Basketball,Medium,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Other,High,Average,Sports,Basketball
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Medium,Yes,Gymnastics,High,Average,Academics,Math Olympiad
6,No,None,None,None,None,None,None,Yes,Drawing,Low,No,Low,Structured,Digital,No,None,None,None,None,None,None,Yes,Other,Low,No,Alone,No,Low,Joint Pain,High,No,Meditation,High,Average,Health,Meditation
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,High,Yes,Alone,Yes,High,None,High,No,Gymnastics,Medium,Good,Analytical,Robotics
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Other,High,Poor,Health,Yoga
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,No,Other,High,Average,Health,Yoga
5,Yes,indoor,Other,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Gymnastics,High,Average,Sports,Cricket
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Individual,Yes,No,No,None,None,None,None,None,None,None,Low,No,Running,High,Average,Academics,Math Olympiad
16,Yes,indoor,Table Tennis,Low,Individual,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Gymnastics,High,Good,Sports,Table Tennis
8,Yes,both,Basketball,Medium,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Other,Medium,Good,Sports,Basketball
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,High,No,Alone,Yes,High,Other,High,No,Gymnastics,Low,Good,Analytical,Coding
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,No,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,Other,Low,No,Gymnastics,High,Good,Academics,Science Club
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,No,Group,Yes,Yes,No,None,None,None,None,None,None,Joint Pain,Medium,No,Yoga,Medium,Poor,Academics,Math Olympiad
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,Yes,Alone,No,High,None,High,No,Running,Medium,Poor,Analytical,Chess
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,Yes,Yoga,Medium,Good,Health,Yoga
11,Yes,indoor,Table Tennis,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Other,Medium,Average,Sports,Table Tennis
17,No,None,None,None,None,None,None,Yes,Drawing,High,No,High,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Gymnastics,Low,Average,Arts,Drawing
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Group,No,Yes,No,None,None,None,None,None,None,Asthma,Medium,Yes,Swimming,Medium,Average,Academics,Science Club
14,Yes,both,Basketball,High,Individual,High,1-2 days,Yes,Dance,Low,No,Low,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Meditation,Medium,Good,Sports,Basketball
10,No,None,None,None,None,None,None,Yes,Music,Low,No,Low,Structured,Digital,No,None,None,None,None,None,None,Yes,Robotics,High,Yes,Alone,Yes,High,None,High,Yes,Swimming,High,Average,Analytical,Robotics
11,No,None,None,None,None,None,None,Yes,Other,High,Yes,Low,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Gymnastics,High,Poor,Arts,Drawing
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,No,Group,Yes,Yes,No,None,None,None,None,None,None,Joint Pain,High,Yes,Swimming,High,Good,Academics,Creative Writing
16,No,None,None,None,None,None,None,Yes,Other,Low,No,Low,Free,Digital,Yes,Science,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Medium,No,Swimming,Medium,Average,Academics,Science Club
