age,likes_sports,sport_indoor_outdoor,which_sport,sport_hours_per_day,sport_team_solo,sport_activity_level,likes_arts,which_art,art_creativity,art_performance,art_hours,art_learning_style,likes_academics,fav_subject,acad_problem_solving,acad_curiosity,acad_study_type,acad_competitions,likes_analytical,analy_puzzle_type,analy_logic_level,analy_challenge,analy_work_style,analy_coding_interest,health_condition,health_energy,health_outdoor_preference,health_activity_preference,health_hours,health_note,category,hobby
12,Yes,indoor,Table Tennis,Low,Individual,Medium,No,None,None,None,None,None,Yes,Language,Yes,Yes,Group,Yes,Yes,Puzzles,Medium,No,Alone,No,None,Low,No,Running,Low,None,Academics,Creative Writing
17,No,None,None,None,None,None,Yes,Dance,Medium,Yes,Low,Structured,Yes,Math,No,Yes,Individual,Yes,Yes,Puzzles,High,Yes,Alone,No,None,High,Yes,Meditation,High,None,Analytical,Chess
6,Yes,indoor,Badminton,Low,Individual,Low,Yes,Drawing,Medium,No,High,Free,Yes,Language,No,Yes,Group,No,No,None,None,None,None,None,Joint Pain,High,No,Yoga,High,None,Health,Yoga
14,No,None,None,None,None,None,Yes,Drawing,Low,Yes,Low,Free,Yes,Language,No,No,Individual,No,No,None,None,None,None,None,Joint Pain,Medium,No,Meditation,Medium,None,Arts,Drawing
8,Yes,both,Swimming,High,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,No,Meditation,Medium,None,Health,Meditation
16,Yes,indoor,Table Tennis,Low,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,No,Meditation,High,None,Sports,Table Tennis
11,Yes,outdoor,Cricket,Medium,Individual,High,No,None,None,None,None,None,Yes,Language,No,Yes,Group,No,Yes,Robotics,Low,No,Alone,Yes,Other,Low,Yes,Meditation,Low,None,Sports,Cricket
14,Yes,both,Swimming,Medium,Individual,Low,Yes,Music,Low,Yes,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Running,Low,None,Arts,Music
5,Yes,both,Swimming,High,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,Yes,Running,Low,None,Sports,Swimming
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Yoga,Medium,None,Health,Yoga
17,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,Yes,Individual,Yes,No,None,None,None,None,None,Other,Medium,Yes,Meditation,Medium,None,Academics,Creative Writing
16,No,None,None,None,None,None,Yes,Music,Low,Yes,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,No,Meditation,Low,None,Arts,Music
12,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,No,Group,Yes,No,None,None,None,None,None,None,Low,No,Swimming,Medium,None,Academics,Creative Writing
6,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Meditation,High,None,Health,Meditation
6,No,None,None,None,None,None,Yes,Music,High,No,Low,Structured,No,None,None,None,None,None,Yes,Logical Games,High,Yes,With others,Yes,None,Medium,No,Running,Low,None,Analytical,Robotics
14,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Meditation,Medium,None,Health,Meditation
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Meditation,Low,None,Health,Meditation
8,No,None,None,None,None,None,Yes,Drawing,Low,Yes,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,Yes,Swimming,High,None,Health,Swimming
10,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Running,High,None,Health,Running
17,No,None,None,None,None,None,Yes,Drawing,Low,Yes,High,Free,Yes,Language,No,Yes,Group,No,Yes,Puzzles,Low,Yes,With others,No,Joint Pain,High,No,Yoga,High,None,Arts,Drawing
16,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,Medium,No,With others,No,Joint Pain,High,Yes,Yoga,High,None,Health,Yoga
11,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,Yes,Group,Yes,Yes,Coding,Low,Yes,With others,No,None,Medium,Yes,Meditation,Medium,None,Academics,Science Club
13,Yes,outdoor,Cricket,Medium,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Gymnastics,Low,None,Sports,Cricket
8,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,Yes,With others,Yes,None,Medium,No,Meditation,Medium,None,Analytical,Robotics
13,Yes,indoor,Table Tennis,Medium,Individual,Medium,No,None,None,None,None,None,Yes,Math,No,No,Group,Yes,No,None,None,None,None,None,None,Low,Yes,Running,Medium,None,Sports,Table Tennis
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,Yes,Meditation,High,None,Health,Meditation
11,No,None,None,None,None,None,Yes,Music,Medium,Yes,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,No,Yoga,Medium,None,Arts,Music
16,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Swimming,Medium,None,Health,Swimming
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,No,Individual,No,No,None,None,None,None,None,Asthma,Medium,Yes,Yoga,Medium,None,Health,Yoga
10,Yes,both,Swimming,Medium,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,Yes,Yoga,High,None,Health,Yoga
8,No,None,None,None,None,None,Yes,Music,Medium,Yes,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Running,Medium,None,Arts,Music
13,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Puzzles,Low,No,Alone,Yes,None,High,No,Running,High,None,Health,Running
12,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,No,Alone,No,Asthma,High,No,Yoga,Low,None,Health,Yoga
5,No,None,None,None,None,None,Yes,Drawing,Low,No,High,Free,Yes,Science,Yes,Yes,Group,No,Yes,Robotics,Medium,Yes,With others,Yes,Asthma,High,No,Yoga,Medium,None,Analytical,Robotics
16,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,High,No,Swimming,Low,None,Health,Swimming
9,Yes,indoor,Table Tennis,Low,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,No,Alone,Yes,None,Low,Yes,Swimming,Low,None,Sports,Table Tennis
8,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,Low,No,With others,Yes,Joint Pain,Low,No,Yoga,High,None,Analytical,Coding
5,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,No,Individual,No,Yes,Robotics,Medium,No,Alone,Yes,None,Medium,No,Swimming,High,None,Analytical,Robotics
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,No,Individual,No,No,None,None,None,None,None,Asthma,High,No,Meditation,High,None,Health,Meditation
17,Yes,indoor,Badminton,Medium,Individual,Low,Yes,Dance,Low,No,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Meditation,High,None,Health,Meditation
9,Yes,both,Swimming,Medium,Team,Low,Yes,Music,High,No,Low,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Swimming,Medium,None,Arts,Music
8,No,None,None,None,None,None,Yes,Dance,High,Yes,Low,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Meditation,High,None,Arts,Dance
17,Yes,both,Swimming,High,Team,Low,Yes,Dance,Medium,Yes,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Running,High,None,Arts,Dance
10,No,None,None,None,None,None,Yes,Dance,High,Yes,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,No,Running,High,None,Arts,Dance
11,Yes,both,Swimming,Low,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,No,Swimming,Low,None,Health,Swimming
17,Yes,indoor,Badminton,High,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,Yes,Meditation,High,None,Sports,Badminton
15,Yes,both,Swimming,High,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,Yes,Gymnastics,Low,None,Sports,Swimming
14,Yes,indoor,Badminton,Medium,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Swimming,Medium,None,Health,Swimming
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Yoga,Low,None,Health,Yoga
17,Yes,indoor,Badminton,Medium,Team,High,No,None,None,None,None,None,Yes,Language,Yes,No,Group,Yes,Yes,Robotics,Medium,Yes,Alone,Yes,Other,Medium,No,Swimming,High,None,Academics,Creative Writing
17,No,None,None,None,None,None,Yes,Drawing,Medium,No,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Yoga,High,None,Arts,Drawing
13,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,Yes,Group,No,No,None,None,None,None,None,None,Medium,Yes,Swimming,Low,None,Academics,Math Olympiad
14,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,No,Individual,Yes,No,None,None,None,None,None,None,High,No,Yoga,Low,None,Academics,Math Olympiad
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,High,No,Alone,Yes,None,High,Yes,Running,High,None,Analytical,Robotics
5,Yes,indoor,Badminton,High,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,Yes,With others,No,None,Low,Yes,Running,Low,None,Sports,Badminton
11,Yes,indoor,Table Tennis,Medium,Team,Low,Yes,Drawing,Medium,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,No,Swimming,High,None,Arts,Drawing
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,No,Group,No,No,None,None,None,None,None,None,High,No,Meditation,High,None,Health,Meditation
9,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,No,Group,Yes,No,None,None,None,None,None,None,Medium,No,Meditation,High,None,Academics,Science Club
10,Yes,both,Swimming,Low,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,High,Yes,With others,No,Joint Pain,Low,No,Meditation,Medium,None,Analytical,Robotics
8,Yes,both,Swimming,High,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Swimming,High,None,Sports,Swimming
15,Yes,indoor,Table Tennis,High,Team,Medium,Yes,Drawing,High,No,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,Medium,Yes,Swimming,Low,None,Arts,Drawing
11,Yes,both,Swimming,Low,Team,High,No,None,None,None,None,None,Yes,Science,No,Yes,Group,Yes,Yes,Logical Games,Medium,No,Alone,Yes,Asthma,High,Yes,Yoga,Medium,None,Academics,Science Club
10,No,None,None,None,None,None,Yes,Drawing,Medium,No,Low,Structured,Yes,Language,Yes,No,Individual,No,Yes,Puzzles,Low,Yes,With others,No,Joint Pain,High,Yes,Yoga,Medium,None,Health,Yoga
8,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,No,Individual,No,Yes,Logical Games,Low,No,With others,Yes,None,High,No,Meditation,Low,None,Health,Meditation
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,No,Individual,No,No,None,None,None,None,None,None,High,No,Yoga,High,None,Health,Yoga
14,No,None,None,None,None,None,Yes,Music,Medium,Yes,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Meditation,Low,None,Arts,Music
7,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,Yes,No,Group,No,No,None,None,None,None,None,Joint Pain,Medium,Yes,Meditation,Medium,None,Academics,Math Olympiad
7,Yes,indoor,Badminton,Low,Team,High,No,None,None,None,None,None,Yes,Language,Yes,No,Individual,Yes,No,None,None,None,None,None,Asthma,High,No,Yoga,Low,None,Academics,Creative Writing
14,No,None,None,None,None,None,Yes,Drawing,High,No,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,No,Meditation,Low,None,Arts,Drawing
7,Yes,outdoor,Cricket,Medium,Individual,Low,Yes,Dance,Medium,Yes,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Meditation,Medium,None,Arts,Dance
5,Yes,indoor,Badminton,Medium,Individual,Medium,Yes,Music,Medium,Yes,High,Structured,No,None,None,None,None,None,Yes,Coding,High,No,With others,Yes,Other,High,No,Gymnastics,Low,None,Arts,Music
13,Yes,outdoor,Cricket,Low,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,No,Meditation,Low,None,Sports,Cricket
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,No,Individual,No,No,None,None,None,None,None,None,Low,Yes,Swimming,Low,None,Health,Swimming
7,No,None,None,None,None,None,Yes,Drawing,Low,Yes,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,Medium,No,Running,High,None,Arts,Drawing
11,Yes,indoor,Table Tennis,Medium,Individual,Medium,Yes,Dance,High,Yes,Medium,Structured,Yes,Math,No,No,Group,Yes,No,None,None,None,None,None,Asthma,Low,Yes,Yoga,Low,None,Arts,Dance
16,Yes,indoor,Badminton,High,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,No,Swimming,Medium,None,Sports,Badminton
17,Yes,indoor,Table Tennis,Medium,Individual,High,No,None,None,None,None,None,Yes,Language,No,No,Group,Yes,Yes,Puzzles,Low,No,Alone,Yes,Asthma,Low,Yes,Swimming,High,None,Sports,Table Tennis
12,Yes,outdoor,Cricket,Low,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Yoga,Low,None,Sports,Cricket
10,Yes,indoor,Badminton,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Running,Medium,None,Sports,Badminton
8,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,Yes,Group,No,No,None,None,None,None,None,Joint Pain,High,No,Meditation,Medium,None,Health,Meditation
5,Yes,indoor,Badminton,Low,Individual,Low,Yes,Music,Low,No,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Yoga,Low,None,Arts,Music
12,No,None,None,None,None,None,Yes,Dance,Medium,No,Medium,Free,Yes,Science,No,No,Individual,No,No,None,None,None,None,None,None,Medium,No,Meditation,Low,None,Arts,Dance
12,No,None,None,None,None,None,Yes,Dance,High,No,Low,Free,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,No,Meditation,Low,None,Arts,Dance
16,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,Yes,Group,Yes,No,None,None,None,None,None,Asthma,Low,No,Swimming,Medium,None,Academics,Science Club
7,Yes,indoor,Badminton,Low,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Medium,No,Running,Medium,None,Health,Running
8,Yes,outdoor,Cricket,High,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,Medium,Yes,With others,Yes,Other,Low,No,Swimming,High,None,Analytical,Coding
8,Yes,both,Swimming,Medium,Individual,Low,Yes,Drawing,Medium,Yes,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,Yes,Meditation,High,None,Arts,Drawing
11,Yes,outdoor,Football,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,Yes,Meditation,Low,None,Sports,Football
10,Yes,both,Swimming,Low,Team,Low,Yes,Dance,Medium,Yes,Low,Structured,No,None,None,None,None,None,Yes,Logical Games,Medium,Yes,Alone,Yes,Joint Pain,Low,Yes,Meditation,High,None,Analytical,Robotics
15,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Swimming,Medium,None,Health,Swimming
14,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Medium,Yes,Yoga,Medium,None,Health,Yoga
17,Yes,outdoor,Cricket,Medium,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Meditation,Low,None,Sports,Cricket
11,No,None,None,None,None,None,Yes,Music,Low,No,Low,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Swimming,Medium,None,Health,Swimming
12,No,None,None,None,None,None,Yes,Dance,High,Yes,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,High,Yes,Yoga,Low,None,Arts,Dance
12,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,Yes,Group,Yes,No,None,None,None,None,None,None,Low,Yes,Meditation,High,None,Academics,Science Club
9,Yes,indoor,Badminton,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Medium,No,Meditation,High,None,Sports,Badminton
13,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Running,Medium,None,Health,Running
16,No,None,None,None,None,None,Yes,Drawing,Medium,No,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Gymnastics,Medium,None,Health,Gymnastics
7,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Running,High,None,Health,Running
10,Yes,indoor,Table Tennis,Medium,Team,Low,Yes,Dance,Low,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Swimming,Low,None,Arts,Dance
16,Yes,both,Swimming,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,No,Meditation,High,None,Sports,Swimming
10,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,Yes,Swimming,Medium,None,Health,Swimming
11,Yes,indoor,Table Tennis,High,Team,Medium,No,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,No,None,None,None,None,None,Asthma,High,Yes,Yoga,Medium,None,Academics,Math Olympiad
7,Yes,indoor,Table Tennis,Medium,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,High,No,Alone,Yes,Other,Low,No,Running,Medium,None,Analytical,Robotics
16,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,High,No,Swimming,Low,None,Health,Swimming
11,Yes,both,Swimming,High,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Gymnastics,Medium,None,Sports,Swimming
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,High,Yes,Alone,Yes,None,Medium,No,Gymnastics,High,None,Analytical,Coding
7,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,No,Group,Yes,No,None,None,None,None,None,Other,Low,No,Running,Low,None,Academics,Science Club
6,Yes,both,Swimming,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,No,Yoga,Medium,None,Sports,Swimming
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Puzzles,Medium,Yes,Alone,No,None,Low,No,Gymnastics,Low,None,Analytical,Chess
11,Yes,indoor,Table Tennis,Medium,Team,High,Yes,Dance,Low,No,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,High,No,Meditation,Low,None,Sports,Table Tennis
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Swimming,Medium,None,Health,Swimming
15,Yes,indoor,Table Tennis,Low,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Meditation,Medium,None,Sports,Table Tennis
9,Yes,both,Swimming,Medium,Individual,Low,No,None,None,None,None,None,Yes,Language,No,Yes,Group,No,Yes,Robotics,High,No,With others,No,Asthma,Medium,No,Meditation,Low,None,Analytical,Robotics
16,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,Low,No,With others,Yes,None,Low,Yes,Running,High,None,Health,Running
17,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,No,Alone,No,Other,Low,Yes,Meditation,Medium,None,Health,Meditation
9,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,No,Individual,No,No,None,None,None,None,None,Joint Pain,Medium,Yes,Swimming,Medium,None,Health,Swimming
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,No,Running,High,None,Health,Running
6,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,Yes,Group,Yes,No,None,None,None,None,None,Asthma,High,Yes,Swimming,Medium,None,Academics,Science Club
11,Yes,indoor,Badminton,Low,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,No,Swimming,Low,None,Sports,Badminton
8,No,None,None,None,None,None,Yes,Drawing,Medium,No,High,Free,No,None,None,None,None,None,Yes,Coding,High,Yes,Alone,No,None,High,No,Running,High,None,Analytical,Coding
12,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,No,None,None,None,None,None,None,Medium,No,Gymnastics,Low,None,Academics,Math Olympiad
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,Yes,Yoga,Low,None,Health,Yoga
12,No,None,None,None,None,None,Yes,Drawing,Medium,No,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,Other,Medium,No,Meditation,Low,None,Arts,Drawing
7,Yes,both,Swimming,High,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,No,Meditation,High,None,Sports,Swimming
15,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Meditation,High,None,Health,Meditation
17,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,High,No,With others,Yes,None,Medium,Yes,Yoga,Medium,None,Analytical,Robotics
12,Yes,indoor,Badminton,Low,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Yoga,High,None,Health,Yoga
14,No,None,None,None,None,None,Yes,Dance,Medium,No,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Meditation,Medium,None,Arts,Dance
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,Yes,Group,No,No,None,None,None,None,None,None,Low,Yes,Yoga,Low,None,Academics,Creative Writing
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Medium,Yes,Alone,Yes,Joint Pain,High,No,Swimming,Low,None,Analytical,Robotics
17,No,None,None,None,None,None,Yes,Drawing,High,No,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Gymnastics,High,None,Arts,Drawing
16,No,None,None,None,None,None,Yes,Dance,High,Yes,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,High,Yes,Meditation,Medium,None,Arts,Dance
14,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,Yes,Yoga,High,None,Health,Yoga
14,Yes,indoor,Badminton,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Low,Yes,Alone,No,Other,Low,No,Yoga,Low,None,Sports,Badminton
13,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,Yes,Meditation,Medium,None,Health,Meditation
7,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Medium,Yes,Alone,Yes,None,High,Yes,Swimming,Medium,None,Analytical,Robotics
10,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Medium,Yes,Alone,Yes,None,Low,No,Yoga,High,None,Analytical,Robotics
5,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,No,Individual,No,No,None,None,None,None,None,None,High,Yes,Yoga,Medium,None,Health,Yoga
10,No,None,None,None,None,None,Yes,Drawing,Low,No,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,High,Yes,Meditation,Medium,None,Health,Meditation
17,Yes,both,Swimming,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,High,Yes,Alone,Yes,Joint Pain,Medium,No,Yoga,Medium,None,Analytical,Coding
16,No,None,None,None,None,None,Yes,Music,High,No,High,Structured,No,None,None,None,None,None,Yes,Coding,High,Yes,Alone,Yes,Joint Pain,High,No,Yoga,Medium,None,Analytical,Coding
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Medium,Yes,Alone,Yes,None,Medium,Yes,Yoga,Low,None,Analytical,Robotics
17,Yes,outdoor,Cricket,High,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Gymnastics,Medium,None,Sports,Cricket
11,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,Yes,Yes,Individual,No,No,None,None,None,None,None,Other,High,No,Gymnastics,Low,None,Academics,Math Olympiad
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Meditation,High,None,Health,Meditation
5,No,None,None,None,None,None,Yes,Dance,Medium,Yes,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Meditation,High,None,Arts,Dance
7,Yes,indoor,Badminton,High,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,Yes,Gymnastics,Medium,None,Sports,Badminton
16,Yes,indoor,Table Tennis,Medium,Team,Low,No,None,None,None,None,None,Yes,Language,No,Yes,Individual,Yes,No,None,None,None,None,None,None,Low,Yes,Yoga,High,None,Academics,Creative Writing
9,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,Yes,No,Individual,No,No,None,None,None,None,None,Joint Pain,Medium,Yes,Swimming,Low,None,Academics,Math Olympiad
15,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,Yes,Group,Yes,No,None,None,None,None,None,Joint Pain,Medium,Yes,Yoga,Low,None,Academics,Creative Writing
5,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,Yes,With others,Yes,Asthma,High,No,Meditation,Medium,None,Analytical,Robotics
8,Yes,outdoor,Football,High,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Meditation,Medium,None,Sports,Football
