sport_type,sport_activity_level,sport_play_style,favorite_sport,art_type,art_creativity,art_performance,art_learning,acad_subject,acad_problem_solving,acad_curiosity,acad_study_type,analy_interest,analy_logic,analy_challenge,analy_work_style,health_activity_type,health_energy,health_outdoor,health_activity,category,hobby
outdoor,Low,Individual,Football,Dance,Low,No,Structured,Math,Yes,No,Individual,Puzzles,High,No,Alone,Relaxation,Medium,Yes,Meditation,Academics,Math Olympiad
outdoor,High,Team,Football,Drawing,Low,No,Free,Language,No,No,Individual,Coding,Low,No,Alone,Physical,High,Yes,Meditation,Sports,Swimming
outdoor,High,Team,Cricket,Dance,Medium,No,Structured,Language,No,No,Individual,Coding,Low,No,Alone,Relaxation,High,No,Running,Sports,Cricket
outdoor,Medium,Individual,Table Tennis,Dance,Medium,No,Structured,Language,No,No,Individual,Logical Games,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Medium,Individual,Chess,Drawing,Low,No,Structured,Science,Yes,No,Group,Coding,High,Yes,Alone,Relaxation,Low,No,Meditation,Analytical,Coding
indoor,Low,Individual,Cricket,Drawing,High,No,Free,Science,Yes,No,Group,Logical Games,High,Yes,Alone,Relaxation,Low,No,Yoga,Analytical,Chess
outdoor,Medium,Individual,Cricket,Dance,Low,No,Free,Science,Yes,Yes,Group,Puzzles,High,Yes,Alone,Relaxation,Low,No,Yoga,Analytical,Chess
indoor,Medium,Individual,Cricket,Music,Medium,Yes,Free,Language,No,Yes,Group,Puzzles,Low,No,With others,Relaxation,Medium,No,Meditation,Health,Meditation
outdoor,High,Team,Football,Drawing,Low,No,Structured,Language,No,No,Individual,Puzzles,Low,No,Alone,Physical,Low,Yes,Meditation,Sports,Football
indoor,Medium,Individual,Badminton,Dance,Medium,No,Structured,Language,Yes,Yes,Individual,Logical Games,Medium,Yes,With others,Physical,Low,Yes,Yoga,Academics,Creative Writing
outdoor,Medium,Individual,Chess,Dance,Medium,No,Free,Math,No,Yes,Individual,Puzzles,High,No,Alone,Relaxation,Medium,No,Meditation,Academics,Math Olympiad
indoor,High,Individual,Table Tennis,Drawing,Low,No,Free,Language,No,No,Individual,Coding,Low,Yes,Alone,Relaxation,Medium,Yes,Meditation,Sports,Table Tennis
indoor,Medium,Individual,Cricket,Drawing,Low,No,Structured,Math,No,No,Group,Puzzles,Medium,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Individual,Chess,Dance,Low,No,Structured,Language,Yes,Yes,Group,Logical Games,High,Yes,Alone,Relaxation,Low,Yes,Gymnastics,Analytical,Chess
outdoor,Medium,Team,Table Tennis,Music,Medium,No,Free,Science,No,No,Group,Logical Games,Low,No,With others,Relaxation,Medium,Yes,Yoga,Health,Yoga
outdoor,High,Individual,Football,Dance,Low,No,Structured,Language,No,No,Individual,Logical Games,Low,No,With others,Relaxation,Medium,Yes,Yoga,Sports,Football
indoor,Low,Individual,Chess,Dance,Low,No,Free,Science,Yes,Yes,Group,Logical Games,Low,Yes,With others,Physical,Low,No,Running,Academics,Science Club
indoor,High,Individual,Badminton,Music,Low,Yes,Structured,Language,No,No,Individual,Puzzles,Low,No,Alone,Physical,Low,No,Meditation,Sports,Badminton
outdoor,Medium,Individual,Chess,Drawing,Low,No,Structured,Science,Yes,No,Individual,Coding,Low,No,With others,Physical,High,Yes,Yoga,Health,Yoga
outdoor,Low,Team,Table Tennis,Dance,High,Yes,Free,Science,No,No,Group,Puzzles,Medium,No,Alone,Physical,Low,Yes,Gymnastics,Arts,Dance
indoor,Medium,Team,Chess,Music,Low,No,Structured,Language,No,No,Individual,Coding,Low,Yes,Alone,Relaxation,Medium,No,Meditation,Health,Meditation
outdoor,Low,Individual,Table Tennis,Drawing,Low,No,Free,Language,Yes,Yes,Group,Puzzles,Medium,No,With others,Relaxation,Medium,No,Gymnastics,Academics,Creative Writing
outdoor,Low,Individual,Chess,Drawing,High,Yes,Free,Math,No,No,Group,Coding,Low,No,With others,Physical,Medium,No,Running,Arts,Drawing
outdoor,Low,Team,Table Tennis,Music,Medium,No,Free,Language,Yes,Yes,Individual,Logical Games,Medium,Yes,With others,Relaxation,Medium,Yes,Meditation,Academics,Creative Writing
indoor,Low,Team,Table Tennis,Dance,Low,No,Free,Math,Yes,Yes,Group,Coding,High,Yes,Alone,Physical,Medium,No,Running,Analytical,Coding
indoor,Low,Individual,Table Tennis,Dance,High,Yes,Structured,Math,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Medium,No,Gymnastics,Arts,Dance
outdoor,Low,Team,Football,Drawing,Low,No,Free,Language,Yes,Yes,Individual,Puzzles,High,No,Alone,Physical,Low,No,Meditation,Academics,Creative Writing
indoor,Low,Individual,Chess,Music,Low,No,Free,Science,Yes,Yes,Group,Puzzles,Medium,Yes,With others,Relaxation,High,No,Gymnastics,Academics,Science Club
outdoor,Low,Individual,Cricket,Dance,Low,No,Free,Language,No,No,Group,Coding,High,Yes,With others,Relaxation,Medium,No,Running,Analytical,Robotics
indoor,Low,Team,Table Tennis,Dance,High,No,Free,Language,No,No,Group,Puzzles,Low,Yes,Alone,Physical,High,Yes,Running,Health,Running
outdoor,Low,Team,Cricket,Drawing,Low,No,Free,Language,Yes,Yes,Individual,Logical Games,Medium,No,With others,Physical,Medium,No,Gymnastics,Academics,Creative Writing
indoor,High,Team,Table Tennis,Drawing,Medium,No,Structured,Math,Yes,Yes,Group,Puzzles,Medium,Yes,With others,Physical,Medium,No,Running,Academics,Math Olympiad
indoor,Low,Team,Cricket,Music,High,Yes,Structured,Math,No,No,Individual,Puzzles,Low,No,With others,Relaxation,Medium,No,Gymnastics,Arts,Music
indoor,High,Team,Badminton,Dance,Low,No,Free,Science,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,High,Yes,Running,Health,Running
indoor,Low,Individual,Chess,Music,Medium,No,Free,Math,Yes,Yes,Individual,Logical Games,High,Yes,Alone,Relaxation,Low,No,Yoga,Analytical,Chess
outdoor,Medium,Individual,Chess,Music,Medium,Yes,Structured,Language,No,No,Individual,Puzzles,Medium,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
indoor,High,Individual,Chess,Dance,High,Yes,Structured,Science,No,No,Group,Coding,Low,Yes,Alone,Physical,Low,Yes,Yoga,Arts,Dance
outdoor,Low,Individual,Table Tennis,Dance,Low,No,Structured,Language,Yes,Yes,Individual,Logical Games,High,Yes,Alone,Relaxation,Medium,No,Yoga,Analytical,Chess
outdoor,Low,Individual,Football,Drawing,High,Yes,Free,Science,No,No,Individual,Puzzles,Low,No,Alone,Physical,Medium,No,Meditation,Arts,Drawing
outdoor,High,Individual,Table Tennis,Drawing,Low,No,Free,Science,No,Yes,Individual,Puzzles,Low,Yes,With others,Physical,Low,No,Gymnastics,Sports,Swimming
indoor,Medium,Team,Table Tennis,Dance,Medium,No,Structured,Science,Yes,Yes,Individual,Logical Games,Low,No,Alone,Relaxation,High,Yes,Yoga,Health,Yoga
outdoor,Medium,Team,Chess,Music,Medium,No,Structured,Math,No,No,Individual,Puzzles,Low,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,Low,Team,Badminton,Music,High,No,Structured,Language,Yes,Yes,Group,Coding,Medium,No,Alone,Relaxation,Low,No,Yoga,Academics,Creative Writing
outdoor,High,Team,Cricket,Music,Medium,No,Free,Math,No,No,Group,Logical Games,Low,No,With others,Relaxation,Low,Yes,Yoga,Sports,Cricket
outdoor,High,Individual,Football,Music,Low,No,Structured,Science,No,Yes,Individual,Puzzles,Low,No,With others,Relaxation,Low,Yes,Gymnastics,Sports,Football
outdoor,Medium,Team,Chess,Dance,Low,No,Free,Language,No,No,Individual,Puzzles,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Medium,Individual,Cricket,Drawing,Low,No,Free,Language,No,Yes,Group,Coding,High,No,With others,Relaxation,Medium,No,Yoga,Academics,Creative Writing
outdoor,Medium,Team,Football,Drawing,Low,No,Structured,Math,No,Yes,Individual,Puzzles,Low,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
indoor,Low,Team,Football,Dance,High,Yes,Free,Math,No,No,Individual,Puzzles,Medium,No,Alone,Physical,Low,No,Meditation,Arts,Dance
outdoor,Low,Individual,Cricket,Dance,Medium,No,Free,Language,No,Yes,Individual,Logical Games,High,Yes,Alone,Physical,Medium,No,Yoga,Analytical,Chess
outdoor,High,Team,Football,Music,Low,No,Structured,Language,No,No,Group,Coding,Low,No,Alone,Physical,High,Yes,Gymnastics,Sports,Football
indoor,Low,Team,Football,Music,Medium,No,Free,Math,Yes,Yes,Individual,Logical Games,Medium,No,With others,Physical,Medium,No,Yoga,Academics,Math Olympiad
outdoor,High,Individual,Badminton,Dance,Low,No,Structured,Language,No,No,Individual,Coding,Low,Yes,With others,Relaxation,Low,No,Running,Sports,Badminton
indoor,Low,Individual,Badminton,Music,Low,No,Structured,Language,No,Yes,Group,Coding,High,Yes,With others,Relaxation,Low,No,Yoga,Analytical,Robotics
indoor,High,Individual,Table Tennis,Music,Medium,No,Free,Math,No,No,Individual,Puzzles,Low,No,With others,Physical,Medium,No,Yoga,Sports,Table Tennis
outdoor,Medium,Individual,Football,Drawing,Low,No,Free,Science,No,Yes,Group,Puzzles,High,Yes,Alone,Physical,Low,No,Running,Analytical,Chess
outdoor,Low,Individual,Table Tennis,Music,High,Yes,Structured,Language,No,No,Group,Puzzles,Low,No,Alone,Physical,Medium,Yes,Running,Arts,Music
indoor,Low,Individual,Cricket,Music,Medium,No,Structured,Science,Yes,Yes,Group,Coding,Medium,Yes,With others,Physical,Low,No,Running,Academics,Science Club
indoor,Low,Team,Football,Music,Low,No,Free,Math,Yes,Yes,Individual,Logical Games,Low,Yes,With others,Physical,Low,No,Yoga,Academics,Math Olympiad
outdoor,Low,Team,Cricket,Dance,Low,No,Free,Science,No,Yes,Group,Coding,Low,No,Alone,Relaxation,Medium,Yes,Yoga,Health,Yoga
outdoor,Low,Team,Table Tennis,Music,Medium,No,Free,Science,Yes,Yes,Group,Coding,Medium,Yes,With others,Relaxation,Low,Yes,Meditation,Academics,Science Club
indoor,Low,Individual,Football,Music,Low,No,Structured,Language,No,No,Group,Logical Games,Low,No,With others,Physical,High,Yes,Running,Health,Running
outdoor,High,Individual,Badminton,Music,Low,No,Structured,Science,No,No,Group,Logical Games,Low,No,Alone,Physical,Medium,No,Meditation,Sports,Swimming
outdoor,Medium,Individual,Cricket,Drawing,Low,No,Free,Language,Yes,No,Individual,Coding,High,Yes,With others,Relaxation,Medium,No,Yoga,Analytical,Coding
outdoor,Low,Individual,Football,Drawing,High,No,Free,Math,No,No,Group,Logical Games,High,Yes,Alone,Physical,High,No,Running,Analytical,Chess
indoor,Low,Team,Cricket,Music,High,Yes,Structured,Language,No,No,Group,Logical Games,Low,No,With others,Physical,Low,No,Gymnastics,Arts,Music
indoor,High,Team,Cricket,Music,Low,Yes,Structured,Math,No,No,Group,Coding,Medium,Yes,With others,Physical,Medium,Yes,Yoga,Health,Yoga
outdoor,Medium,Individual,Chess,Drawing,Low,No,Structured,Science,Yes,Yes,Group,Logical Games,Medium,No,Alone,Physical,Medium,No,Running,Academics,Science Club
outdoor,Low,Individual,Football,Dance,Low,No,Structured,Math,No,Yes,Individual,Logical Games,High,Yes,Alone,Physical,Medium,No,Gymnastics,Analytical,Chess
indoor,High,Individual,Table Tennis,Music,Low,Yes,Free,Science,No,No,Individual,Puzzles,Low,No,With others,Physical,High,Yes,Meditation,Sports,Table Tennis
indoor,Low,Team,Table Tennis,Drawing,Medium,No,Free,Math,Yes,Yes,Group,Puzzles,High,Yes,Alone,Physical,Medium,No,Running,Analytical,Chess
outdoor,High,Individual,Cricket,Drawing,Low,No,Structured,Language,No,No,Group,Puzzles,Low,No,With others,Relaxation,Low,No,Gymnastics,Sports,Cricket
indoor,Medium,Team,Cricket,Dance,Low,No,Structured,Math,Yes,No,Individual,Puzzles,Low,No,Alone,Relaxation,Medium,Yes,Yoga,Health,Yoga
outdoor,High,Team,Cricket,Dance,Low,No,Free,Math,No,No,Individual,Puzzles,Low,No,Alone,Physical,Medium,No,Meditation,Sports,Cricket
indoor,High,Individual,Badminton,Dance,Low,No,Structured,Science,No,No,Individual,Coding,Low,No,With others,Relaxation,Medium,No,Running,Sports,Badminton
indoor,High,Individual,Badminton,Music,Low,No,Free,Science,Yes,Yes,Group,Logical Games,High,No,With others,Relaxation,Medium,Yes,Yoga,Academics,Science Club
outdoor,High,Individual,Cricket,Music,Low,No,Structured,Science,Yes,No,Group,Coding,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,High,Team,Football,Drawing,Low,No,Free,Science,No,No,Individual,Coding,Low,No,Alone,Physical,Medium,Yes,Yoga,Sports,Football
outdoor,Medium,Individual,Chess,Music,Low,No,Free,Language,Yes,No,Group,Logical Games,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,High,Team,Table Tennis,Drawing,Low,No,Free,Science,No,No,Group,Puzzles,Medium,No,Alone,Physical,Medium,Yes,Gymnastics,Sports,Table Tennis
outdoor,High,Team,Football,Drawing,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,Alone,Physical,Medium,No,Gymnastics,Sports,Football
outdoor,High,Individual,Table Tennis,Dance,Low,No,Free,Language,No,No,Group,Puzzles,Low,No,With others,Physical,Low,No,Gymnastics,Sports,Swimming
indoor,Low,Team,Cricket,Dance,High,No,Structured,Language,No,No,Individual,Logical Games,Low,No,Alone,Physical,Medium,No,Yoga,Arts,Dance
indoor,Low,Individual,Chess,Music,Medium,No,Free,Language,Yes,Yes,Group,Logical Games,Medium,No,Alone,Physical,Low,No,Gymnastics,Academics,Creative Writing
outdoor,High,Team,Badminton,Dance,Low,No,Structured,Science,No,No,Group,Logical Games,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Team,Table Tennis,Drawing,Low,No,Free,Science,Yes,Yes,Group,Coding,High,Yes,Alone,Physical,Low,Yes,Yoga,Analytical,Coding
outdoor,High,Individual,Badminton,Dance,Low,No,Structured,Language,No,No,Individual,Coding,Low,No,With others,Relaxation,Medium,No,Yoga,Sports,Badminton
outdoor,High,Team,Football,Dance,Low,No,Free,Language,No,Yes,Group,Logical Games,Low,No,Alone,Physical,High,No,Gymnastics,Sports,Football
outdoor,Low,Team,Football,Music,Medium,No,Free,Language,No,No,Individual,Logical Games,Low,No,Alone,Physical,High,Yes,Running,Health,Running
outdoor,High,Team,Cricket,Music,Low,No,Structured,Math,No,No,Group,Coding,Low,No,Alone,Relaxation,Low,No,Meditation,Sports,Cricket
indoor,High,Individual,Football,Dance,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,With others,Physical,High,Yes,Yoga,Health,Yoga
outdoor,High,Individual,Cricket,Drawing,Low,No,Structured,Science,No,No,Group,Logical Games,Low,No,With others,Relaxation,Medium,Yes,Gymnastics,Sports,Swimming
indoor,Low,Individual,Football,Music,Low,No,Structured,Science,Yes,Yes,Group,Logical Games,Medium,No,Alone,Relaxation,Medium,No,Yoga,Academics,Science Club
indoor,High,Individual,Table Tennis,Dance,Low,No,Free,Math,Yes,No,Group,Puzzles,Medium,No,With others,Physical,High,Yes,Gymnastics,Sports,Table Tennis
indoor,Low,Team,Football,Drawing,Medium,No,Free,Language,Yes,Yes,Individual,Puzzles,Medium,Yes,With others,Relaxation,Low,Yes,Gymnastics,Academics,Creative Writing
outdoor,High,Individual,Cricket,Dance,Low,No,Structured,Science,No,No,Group,Coding,Medium,No,Alone,Relaxation,High,Yes,Meditation,Sports,Cricket
indoor,Medium,Individual,Football,Music,Low,No,Free,Language,No,Yes,Individual,Logical Games,Low,No,With others,Relaxation,Medium,Yes,Yoga,Health,Yoga
indoor,Low,Individual,Chess,Music,High,No,Structured,Language,No,No,Group,Logical Games,High,Yes,With others,Physical,Low,No,Yoga,Analytical,Robotics
outdoor,Medium,Team,Football,Music,Low,No,Structured,Language,Yes,No,Individual,Puzzles,Low,Yes,Alone,Relaxation,Medium,Yes,Yoga,Health,Yoga
indoor,Medium,Team,Table Tennis,Music,Low,No,Free,Science,No,No,Group,Puzzles,Medium,No,Alone,Physical,Medium,No,Gymnastics,Sports,Table Tennis
indoor,Medium,Team,Cricket,Drawing,Low,No,Structured,Math,No,Yes,Group,Puzzles,Low,No,With others,Relaxation,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Football,Drawing,High,Yes,Free,Science,No,No,Individual,Logical Games,Low,No,With others,Physical,Low,No,Meditation,Arts,Drawing
outdoor,Low,Team,Table Tennis,Music,High,Yes,Structured,Science,No,No,Group,Coding,Medium,No,With others,Relaxation,High,No,Meditation,Arts,Music
outdoor,Low,Individual,Chess,Music,Medium,No,Free,Language,Yes,Yes,Individual,Logical Games,High,No,Alone,Relaxation,High,No,Running,Academics,Creative Writing
indoor,High,Team,Football,Drawing,Low,No,Free,Math,No,Yes,Individual,Puzzles,Low,No,Alone,Relaxation,Medium,No,Yoga,Health,Yoga
outdoor,Low,Team,Chess,Music,High,No,Structured,Language,Yes,Yes,Individual,Coding,High,Yes,With others,Relaxation,Low,No,Running,Analytical,Robotics
indoor,High,Individual,Table Tennis,Dance,Low,No,Free,Language,No,No,Group,Puzzles,High,No,Alone,Physical,Medium,No,Gymnastics,Sports,Table Tennis
indoor,High,Individual,Table Tennis,Music,Low,No,Structured,Science,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Meditation,Sports,Table Tennis
indoor,Low,Team,Cricket,Drawing,High,Yes,Free,Math,No,No,Individual,Coding,Low,No,With others,Physical,Low,Yes,Gymnastics,Arts,Drawing
outdoor,High,Team,Chess,Music,Low,No,Free,Language,No,Yes,Group,Coding,Low,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,Low,Individual,Badminton,Drawing,High,Yes,Free,Math,Yes,Yes,Individual,Logical Games,Medium,No,Alone,Relaxation,Low,No,Running,Academics,Math Olympiad
indoor,Low,Individual,Table Tennis,Dance,Low,No,Structured,Language,Yes,Yes,Individual,Coding,High,Yes,With others,Relaxation,Medium,No,Running,Analytical,Coding
outdoor,Low,Individual,Badminton,Music,Low,No,Structured,Math,Yes,Yes,Individual,Coding,High,Yes,Alone,Relaxation,Low,No,Gymnastics,Analytical,Coding
indoor,Low,Individual,Chess,Drawing,Low,No,Structured,Language,Yes,Yes,Individual,Logical Games,High,No,Alone,Relaxation,High,No,Running,Academics,Creative Writing
outdoor,Medium,Individual,Football,Drawing,Low,No,Free,Science,No,No,Group,Coding,High,No,With others,Relaxation,Medium,Yes,Yoga,Health,Yoga
indoor,Low,Team,Table Tennis,Drawing,Low,No,Structured,Language,Yes,Yes,Group,Coding,Low,Yes,Alone,Physical,High,Yes,Yoga,Academics,Creative Writing
indoor,Low,Individual,Cricket,Music,Low,No,Free,Language,No,No,Individual,Logical Games,Low,No,With others,Physical,High,Yes,Running,Health,Running
indoor,High,Individual,Table Tennis,Drawing,Low,No,Free,Math,No,No,Group,Puzzles,Low,No,With others,Relaxation,Medium,Yes,Yoga,Health,Yoga
outdoor,High,Team,Football,Music,High,Yes,Free,Science,No,No,Group,Coding,Low,No,Alone,Physical,Medium,No,Meditation,Arts,Music
outdoor,Medium,Individual,Table Tennis,Dance,Low,No,Structured,Science,Yes,Yes,Group,Logical Games,Low,Yes,With others,Relaxation,Medium,Yes,Running,Academics,Science Club
indoor,High,Individual,Table Tennis,Drawing,Low,No,Free,Science,No,No,Individual,Coding,Low,No,With others,Physical,Medium,Yes,Gymnastics,Sports,Table Tennis
outdoor,Medium,Individual,Table Tennis,Drawing,Low,No,Structured,Language,Yes,Yes,Individual,Puzzles,Low,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
indoor,High,Individual,Chess,Dance,Low,No,Structured,Science,No,Yes,Group,Logical Games,Low,No,With others,Physical,High,Yes,Running,Health,Running
outdoor,High,Team,Cricket,Music,Low,No,Free,Math,No,No,Individual,Puzzles,High,No,Alone,Physical,High,Yes,Gymnastics,Sports,Cricket
outdoor,Medium,Individual,Badminton,Dance,Low,No,Free,Math,No,No,Individual,Coding,High,No,Alone,Relaxation,Low,No,Yoga,Analytical,Coding
outdoor,Medium,Team,Chess,Music,Low,No,Free,Math,No,No,Individual,Coding,Low,No,Alone,Relaxation,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Individual,Chess,Dance,Low,No,Structured,Science,No,No,Group,Logical Games,High,Yes,Alone,Physical,Low,No,Yoga,Analytical,Chess
outdoor,Low,Individual,Chess,Drawing,Medium,No,Structured,Science,Yes,Yes,Individual,Logical Games,High,Yes,With others,Physical,Medium,Yes,Yoga,Analytical,Robotics
indoor,Medium,Individual,Table Tennis,Drawing,Low,No,Structured,Math,No,No,Group,Coding,Low,No,With others,Relaxation,Low,Yes,Running,Sports,Table Tennis
outdoor,High,Team,Cricket,Drawing,Low,No,Structured,Science,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Low,Yes,Gymnastics,Sports,Cricket
indoor,Low,Individual,Football,Drawing,High,No,Free,Language,No,No,Individual,Puzzles,High,No,With others,Relaxation,Medium,No,Gymnastics,Arts,Drawing
outdoor,Low,Individual,Badminton,Drawing,High,Yes,Free,Science,No,No,Individual,Coding,Low,No,With others,Relaxation,Medium,No,Yoga,Arts,Drawing
outdoor,High,Individual,Football,Dance,Low,No,Structured,Math,No,No,Individual,Coding,Low,No,With others,Relaxation,Low,No,Yoga,Sports,Swimming
outdoor,High,Team,Football,Music,Low,No,Free,Language,No,No,Individual,Coding,Low,No,With others,Physical,Low,No,Yoga,Sports,Football
outdoor,Low,Individual,Football,Music,High,Yes,Free,Language,No,No,Group,Logical Games,Low,No,With others,Physical,Medium,No,Running,Arts,Music
outdoor,High,Team,Cricket,Drawing,Medium,No,Free,Science,No,No,Group,Coding,Low,No,With others,Relaxation,Medium,Yes,Gymnastics,Sports,Cricket
outdoor,High,Individual,Table Tennis,Music,Low,No,Structured,Language,Yes,No,Group,Puzzles,Low,No,Alone,Relaxation,Low,No,Running,Sports,Swimming
indoor,Medium,Team,Cricket,Music,Low,No,Structured,Science,Yes,Yes,Individual,Logical Games,Low,No,With others,Relaxation,High,Yes,Meditation,Health,Meditation
indoor,Low,Team,Badminton,Music,High,Yes,Structured,Science,No,No,Group,Coding,Low,No,With others,Physical,Low,No,Gymnastics,Arts,Music
outdoor,Low,Team,Table Tennis,Music,High,Yes,Structured,Science,No,Yes,Group,Logical Games,Low,No,With others,Physical,Medium,No,Meditation,Arts,Music
indoor,Medium,Team,Table Tennis,Dance,Low,No,Structured,Language,No,Yes,Individual,Puzzles,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Medium,Individual,Chess,Drawing,Medium,No,Structured,Language,Yes,No,Group,Puzzles,Low,No,Alone,Physical,High,No,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Table Tennis,Drawing,High,Yes,Free,Science,No,No,Individual,Puzzles,Low,Yes,Alone,Physical,Medium,No,Yoga,Arts,Drawing
outdoor,Low,Team,Football,Music,Low,No,Structured,Math,Yes,Yes,Individual,Coding,Medium,Yes,With others,Physical,Low,No,Running,Academics,Math Olympiad
outdoor,High,Individual,Table Tennis,Dance,Medium,No,Structured,Language,No,No,Individual,Puzzles,Low,No,With others,Relaxation,Low,No,Running,Sports,Swimming
outdoor,Medium,Individual,Table Tennis,Music,Low,No,Structured,Science,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,Low,Team,Football,Drawing,High,Yes,Structured,Science,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Medium,No,Meditation,Arts,Drawing
indoor,Low,Team,Chess,Drawing,High,Yes,Free,Science,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,High,Yes,Running,Arts,Drawing
outdoor,High,Team,Chess,Drawing,Low,No,Structured,Science,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,Medium,No,Meditation,Health,Meditation
indoor,High,Individual,Badminton,Drawing,Low,No,Free,Language,No,No,Group,Coding,Low,No,With others,Relaxation,Low,Yes,Meditation,Sports,Badminton
outdoor,Medium,Team,Football,Drawing,Low,No,Free,Science,No,No,Individual,Puzzles,Low,No,With others,Relaxation,Medium,No,Meditation,Health,Meditation
outdoor,High,Team,Cricket,Drawing,Low,No,Free,Math,No,No,Group,Puzzles,Low,No,With others,Physical,Low,No,Gymnastics,Sports,Cricket
indoor,Medium,Individual,Football,Music,Medium,No,Structured,Math,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
indoor,Medium,Individual,Chess,Music,Low,Yes,Free,Math,No,Yes,Group,Coding,Low,No,With others,Relaxation,High,Yes,Running,Health,Running
indoor,High,Individual,Badminton,Music,Medium,No,Structured,Language,No,No,Individual,Puzzles,Low,No,Alone,Physical,Low,Yes,Running,Sports,Badminton
indoor,High,Team,Chess,Dance,Medium,No,Free,Science,No,No,Individual,Coding,Low,No,With others,Physical,High,Yes,Running,Health,Running
indoor,High,Individual,Badminton,Music,Medium,No,Free,Math,Yes,Yes,Group,Logical Games,Medium,Yes,Alone,Physical,Low,Yes,Running,Analytical,Chess
indoor,High,Individual,Football,Music,Low,No,Free,Math,No,No,Individual,Coding,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Chess,Dance,High,Yes,Structured,Science,No,No,Group,Puzzles,Low,No,Alone,Physical,High,No,Gymnastics,Arts,Dance
indoor,High,Individual,Cricket,Dance,Low,Yes,Structured,Language,No,No,Group,Puzzles,Low,No,With others,Physical,High,Yes,Running,Sports,Swimming
outdoor,High,Team,Cricket,Dance,Low,No,Free,Language,No,No,Individual,Coding,Low,No,With others,Physical,High,Yes,Running,Sports,Cricket
outdoor,Low,Individual,Badminton,Drawing,Medium,No,Free,Math,Yes,Yes,Individual,Coding,Medium,Yes,Alone,Relaxation,Low,No,Gymnastics,Academics,Math Olympiad
outdoor,Low,Team,Cricket,Drawing,High,Yes,Free,Math,No,No,Group,Coding,Low,No,With others,Relaxation,Medium,No,Running,Arts,Drawing
indoor,Low,Team,Cricket,Drawing,Low,No,Structured,Language,Yes,Yes,Individual,Coding,High,No,Alone,Relaxation,Low,No,Running,Academics,Creative Writing
outdoor,Medium,Individual,Football,Drawing,High,No,Free,Language,Yes,Yes,Individual,Coding,Low,No,Alone,Relaxation,Low,Yes,Meditation,Academics,Creative Writing
outdoor,High,Individual,Football,Drawing,Low,No,Structured,Language,Yes,No,Individual,Puzzles,Medium,Yes,Alone,Relaxation,High,No,Meditation,Academics,Creative Writing
indoor,High,Individual,Football,Music,Low,No,Structured,Math,No,Yes,Individual,Coding,Low,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,Low,Team,Badminton,Music,Low,No,Structured,Math,Yes,Yes,Group,Puzzles,Low,Yes,Alone,Relaxation,Medium,No,Meditation,Academics,Math Olympiad
outdoor,Low,Individual,Cricket,Dance,Low,No,Free,Math,Yes,No,Individual,Coding,High,Yes,With others,Relaxation,High,No,Yoga,Analytical,Robotics
outdoor,High,Team,Football,Drawing,Low,No,Structured,Math,No,No,Individual,Puzzles,Low,No,With others,Relaxation,Medium,Yes,Yoga,Sports,Football
outdoor,Low,Team,Table Tennis,Dance,Low,No,Structured,Math,Yes,Yes,Individual,Logical Games,Medium,No,With others,Relaxation,Low,No,Yoga,Academics,Math Olympiad
outdoor,Low,Team,Chess,Drawing,High,No,Free,Language,No,No,Individual,Puzzles,Medium,No,Alone,Physical,Low,No,Gymnastics,Arts,Drawing
indoor,Low,Individual,Football,Music,Medium,Yes,Structured,Math,Yes,Yes,Individual,Puzzles,Medium,Yes,Alone,Relaxation,Low,Yes,Meditation,Academics,Math Olympiad
